index,note_name,start_time,duration,velocity,tempo
0,B0,0.0,0.25,0,84
0,D-1,0.0,0.25,0,84
0,D1,0.0,0.25,0,84
0,E1,0.0,0.25,0,84
0,G-1,0.0,0.25,0,84
0,G1,0.0,0.25,0,84
0,A1,0.0,0.25,0,84
0,B1,0.0,0.25,0,84
0,D-2,0.0,0.25,0,84
0,D2,0.0,0.25,0,84
0,E2,0.0,0.25,0,84
0,G-2,0.0,0.25,0,84
0,G2,0.0,0.25,0,84
0,A2,0.0,0.25,0,84
0,B2,0.0,0.25,0,84
0,D-3,0.0,0.25,0,84
0,D3,0.0,0.25,0,84
0,E3,0.0,0.25,0,84
0,G-3,0.0,0.25,0,84
0,G3,0.0,0.25,0,84
1,B0,0.25,0.25,0,84
1,D-1,0.25,0.25,0,84
1,D1,0.25,0.25,0,84
1,E1,0.25,0.25,0,84
1,G-1,0.25,0.25,0,84
1,G1,0.25,0.25,0,84
1,A1,0.25,0.25,0,84
1,B1,0.25,0.25,0,84
1,D-2,0.25,0.25,0,84
1,D2,0.25,0.25,0,84
1,E2,0.25,0.25,0,84
1,G-2,0.25,0.25,0,84
1,G2,0.25,0.25,0,84
1,A2,0.25,0.25,0,84
1,B2,0.25,0.25,0,84
1,D-3,0.25,0.25,0,84
1,D3,0.25,0.25,0,84
1,E3,0.25,0.25,0,84
1,G-3,0.25,0.25,0,84
1,G3,0.25,0.25,0,84
2,B0,0.5,0.25,0,84
2,D-1,0.5,0.25,0,84
2,D1,0.5,0.25,0,84
2,E1,0.5,0.25,0,84
2,G-1,0.5,0.25,0,84
2,G1,0.5,0.25,0,84
2,A1,0.5,0.25,0,84
2,B1,0.5,0.25,0,84
2,D-2,0.5,0.25,0,84
2,D2,0.5,0.25,0,84
2,E2,0.5,0.25,0,84
2,G-2,0.5,0.25,0,84
2,G2,0.5,0.25,0,84
2,A2,0.5,0.25,0,84
2,B2,0.5,0.25,0,84
2,D-3,0.5,0.25,0,84
2,D3,0.5,0.25,0,84
2,E3,0.5,0.25,0,84
2,G-3,0.5,0.25,0,84
2,G3,0.5,0.25,0,84
3,B0,0.75,0.25,0,84
3,D-1,0.75,0.25,0,84
3,D1,0.75,0.25,0,84
3,E1,0.75,0.25,0,84
3,G-1,0.75,0.25,0,84
3,G1,0.75,0.25,0,84
3,A1,0.75,0.25,0,84
3,B1,0.75,0.25,0,84
3,D-2,0.75,0.25,0,84
3,D2,0.75,0.25,0,84
3,E2,0.75,0.25,0,84
3,G-2,0.75,0.25,0,84
3,G2,0.75,0.25,0,84
3,A2,0.75,0.25,0,84
3,B2,0.75,0.25,0,84
3,D-3,0.75,0.25,0,84
3,D3,0.75,0.25,0,84
3,E3,0.75,0.25,0,84
3,G-3,0.75,0.25,0,84
3,G3,0.75,0.25,0,84
4,B0,1.0,0.25,0,84
4,D-1,1.0,0.25,0,84
4,D1,1.0,0.25,0,84
4,E1,1.0,0.25,0,84
4,G-1,1.0,0.25,0,84
4,G1,1.0,0.25,0,84
4,A1,1.0,0.25,0,84
4,B1,1.0,0.25,0,84
4,D-2,1.0,0.25,0,84
4,D2,1.0,0.25,0,84
4,E2,1.0,0.25,0,84
4,G-2,1.0,0.25,0,84
4,G2,1.0,0.25,0,84
4,A2,1.0,0.25,0,84
4,B2,1.0,0.25,0,84
4,D-3,1.0,0.25,0,84
4,D3,1.0,0.25,0,84
4,E3,1.0,0.25,0,84
4,G-3,1.0,0.25,0,84
4,G3,1.0,0.25,0,84
5,B0,1.25,0.25,0,84
5,D-1,1.25,0.25,0,84
5,D1,1.25,0.25,0,84
5,E1,1.25,0.25,0,84
5,G-1,1.25,0.25,0,84
5,G1,1.25,0.25,0,84
5,A1,1.25,0.25,0,84
5,B1,1.25,0.25,0,84
5,D-2,1.25,0.25,0,84
5,D2,1.25,0.25,0,84
5,E2,1.25,0.25,0,84
5,G-2,1.25,0.25,0,84
5,G2,1.25,0.25,0,84
5,A2,1.25,0.25,0,84
5,B2,1.25,0.25,0,84
